"","variable","expected_gain","EVPI_do","EVPI_dont"
"n_years","n_years",NA,0,0
"discount_rate","discount_rate",10008575.2002316,0,10008575.2002316
"var_CV","var_CV",10145298.8476541,0,10145298.8476541
"var_CV_high","var_CV_high",10180466.4581275,0,10180466.4581275
"exchange_rate","exchange_rate",NA,0,0
"inaccurate_forecast_i1","inaccurate_forecast_i1",10218922.8777754,0,10218922.8777754
"inaccurate_forecast_i234","inaccurate_forecast_i234",10222935.2437265,0,10222935.2437265
"inaccurate_forecast_extreme_cold_i1234","inaccurate_forecast_extreme_cold_i1234",10223524.1257228,0,10223524.1257228
"affected_coeff_inaccurate_forecast_i1234","affected_coeff_inaccurate_forecast_i1234",10218338.4505258,0,10218338.4505258
"met_station_esta_i1","met_station_esta_i1",10216042.0338729,0,10216042.0338729
"met_station_main_i1","met_station_main_i1",10218255.3983421,0,10218255.3983421
"cost_forecasts_access_i1","cost_forecasts_access_i1",10225141.1774138,0,10225141.1774138
"cost_weekly_forecasts_i1234","cost_weekly_forecasts_i1234",10212232.9276508,0,10212232.9276508
"cost_seasonal_forecasts_i1234","cost_seasonal_forecasts_i1234",10214050.8645349,0,10214050.8645349
"cost_cb_translation_staff_i1234","cost_cb_translation_staff_i1234",10223805.4558548,0,10223805.4558548
"cb_translation_n12","cb_translation_n12",NA,0,0
"cb_translation_n234","cb_translation_n234",NA,0,0
"cost_cb_commune_i1234","cost_cb_commune_i1234",10218879.5392653,0,10218879.5392653
"n_communes","n_communes",NA,0,0
"leftlet_year1_i1234","leftlet_year1_i1234",10218074.972534,0,10218074.972534
"village_meeting_launch_i1234","village_meeting_launch_i1234",10219530.0031524,0,10219530.0031524
"video_i1234_peryear","video_i1234_peryear",10220076.1686565,0,10220076.1686565
"cost_print_seasonal_bulletinA0_i1234","cost_print_seasonal_bulletinA0_i1234",10210331.0765847,0,10210331.0765847
"n_print_per_year","n_print_per_year",NA,0,0
"n_per_village","n_per_village",NA,0,0
"cost_per_SMS_i123","cost_per_SMS_i123",10217643.6274873,0,10217643.6274873
"messages_per_time_rice_i123","messages_per_time_rice_i123",10221051.70219,0,10221051.70219
"number_times_per_year_rice_i123","number_times_per_year_rice_i123",10220097.0811824,0,10220097.0811824
"total_farm_households_i1234","total_farm_households_i1234",10222385.9253142,0,10222385.9253142
"total_households_i1234","total_households_i1234",10217338.2149086,0,10217338.2149086
"messages_per_time_animal_i123","messages_per_time_animal_i123",10222668.7849735,0,10222668.7849735
"number_times_per_year_animal_i12","number_times_per_year_animal_i12",10219884.800766,0,10219884.800766
"percent_animal_households_i1234","percent_animal_households_i1234",10211873.7171916,0,10211873.7171916
"commune_village_SMS_i3","commune_village_SMS_i3",NA,0,0
"n_village","n_village",NA,0,0
"allowance_village_leader_permonth_loud_i34","allowance_village_leader_permonth_loud_i34",10211465.0562189,0,10211465.0562189
"months_per_year","months_per_year",NA,0,0
"allowance_bulletin_collect_time_short_i4","allowance_bulletin_collect_time_short_i4",NA,0,0
"times_per_month","times_per_month",NA,0,0
"percent_short_distance_i4","percent_short_distance_i4",10217630.0593154,0,10217630.0593154
"allowance_bulletin_collect_time_long_i4","allowance_bulletin_collect_time_long_i4",NA,0,0
"percent_long_distance_i4","percent_long_distance_i4",10226690.5456399,0,10226690.5456399
"no_model_compare_i1234","no_model_compare_i1234",NA,0,0
"model_training_i1234","model_training_i1234",10219359.688618,0,10219359.688618
"n_training","n_training",NA,0,0
"percent_fertilizer_model_supporti1234","percent_fertilizer_model_supporti1234",NA,0,0
"plant_protection_support_i1234","plant_protection_support_i1234",NA,0,0
"model_monitor_i1234","model_monitor_i1234",10217256.5131951,0,10217256.5131951
"field_visit_i1234","field_visit_i1234",10218365.8667211,0,10218365.8667211
"SAA_TOT","SAA_TOT",10216335.1390692,0,10216335.1390692
"dialogue_village","dialogue_village",10217664.9551759,0,10217664.9551759
"n_dialogues","n_dialogues",NA,0,0
"cost_community_event","cost_community_event",10220999.0469344,0,10220999.0469344
"ME_district_i1234","ME_district_i1234",10219806.8739912,0,10219806.8739912
"ME_commune_i1234","ME_commune_i1234",10217291.077576,0,10217291.077576
"total_rice_area_i1234","total_rice_area_i1234",NA,0,0
"rice_area_drought_i1234","rice_area_drought_i1234",10204603.159469,0,10204603.159469
"chance_drought_i1234","chance_drought_i1234",10186728.2555333,0,10186728.2555333
