"","VIP","Coefficient"
"discount_rate",0.734718629382953,0.0266803999311092
"var_CV",0.209335410970422,-0.00760175700066922
"var_CV_high",1.65497564204972,-0.0600983971826251
"chance_inaccurate_forecast_i1",0.0840901941571065,-0.00305363158176683
"chance_inaccurate_forecast_i234",0.545608105456435,0.0198130847334824
"chance_inaccurate_forecast_extreme_cold_i1234",0.725733436516317,0.0263541137454148
"chance_inaccurate_forecast_extreme_drought_i1234",0.68054470727278,-0.0247131408336366
"met_station_esta_i1",0.900400189410908,-0.0326969212305193
"met_station_main_i1",0.398868903208393,0.0144844317703232
"cost_forecasts_access_i1",0.086453499310661,0.00313945209064523
"cost_weekly_forecasts_i1234",0.2750593483515,-0.00998844064287798
"cost_seasonal_forecasts_i1234",1.4590273502544,0.0529827768868564
"cost_cb_translation_staff_i1234",0.244481527742091,0.00887804483929546
"cost_cb_commune_i1234",0.442025855965381,-0.0160516232274549
"leftlet_year1_i1234",0.187775741009161,-0.00681884420392654
"village_meeting_launch_i1234",1.4640918013379,-0.0531666861753046
"video_i1234_peryear",0.308215187888269,0.0111924540209457
"cost_print_seasonal_bulletinA0_i1234",0.317786835937656,-0.0115400366025552
"cost_per_SMS_i123",0.346765369715273,0.0125923562793453
"messages_per_time_rice_i123",0.899290964149273,-0.0326566410846096
"number_times_per_year_rice_i123",1.23456838312813,-0.0448318266161627
"baseline_farm_households_i1234",0.958481260780068,0.0348060636295053
"baseline_households_i1234",1.21854651509692,-0.0442500122594545
"household_increase_rate",0.266602919106633,-0.00968135585528839
"messages_per_time_animal_i123",1.71813235380132,-0.0623918551956358
"number_times_per_year_animal_i123",0.870592540329306,0.0316144932551034
"percent_animal_households_i1234",0.771941458406092,0.0280321010112066
"allowance_village_leader_permonth_loud_i34",1.74086444685417,0.0632173430894579
"percent_short_distance_i4",0.557463657315241,-0.0202436044621881
"model_training_i1234",0.710047136195437,0.0257844851158099
"model_monitor_i1234",0.793574265747581,-0.0288176697016158
"field_visit_i1234",0.0081181458518539,-0.000294800443822205
"SAA_TOT",1.21087760063214,-0.0439715250988258
"dialogue_village",1.27127973899141,0.0461649541799326
"cost_community_event",0.194573800526103,0.00706570734229531
"ME_district_i1234",0.464939325715078,-0.0168836975920926
"ME_commune_i1234",0.698352525661607,-0.0253598097726201
"rice_area_drought_i1234",0.166087525580931,-0.00603126343725508
"chance_drought_i1234",0.0423067492261902,0.00153631736558508
"reduce_loss_drought_i1234",0.44557411871069,0.016180474008311
"rice_profit_no_drought",1.56304065764252,-0.0567598917282252
"seed_baseline_i1234",1.4177501396483,0.0514838459451755
"seed_applied_i1234",1.05832296281921,-0.0384316917729539
"seed_advice_i1234",0.66791693747204,-0.0242545789637618
"price_seed_i1234",0.583105582560046,0.0211747593195374
"labor_pick_i1234",0.472521359021896,0.0171590297707346
"rate_seed_inno_i1",0.104438336248067,0.00379254923967051
"rate_seed_imitation_i1",0.33920201642688,-0.0123177024425098
"rate_seed_inno_i2",1.50759260013742,-0.054746363976953
"rate_seed_imitation_i2",0.472647358646343,0.0171636052915353
"rate_seed_inno_i3",2.10752743789061,0.0765322569211719
"rate_seed_imitation_i3",0.0890860782926025,-0.00323505094615189
"rate_seed_inno_i4",0.970670425864994,0.0352486981106335
"rate_seed_imitation_i4",0.205728782221866,-0.00747078673046481
"rate_saturated_i12",0.350799505537437,0.012738850941121
"rate_saturated_i34",0.496940539783062,0.0180457821717798
"dis_adoption_i123",1.08334588673604,-0.0393403683613066
"dis_adoption_i4",3.26792515517569,-0.11867066737949
"effective_rate",1.49702552247661,0.0543626335979774
"chance_resow_i1234",1.71182045791747,0.0621626464893777
"chance_resow_advice_i1234",1.62405343055831,0.058975495249353
"resow_fer_area_percentage_i1234",0.0890503647647976,0.00323375405348212
"labor_seed_fertilize_i1234",0.884247685299983,-0.0321103629858613
"NPK5105_baseline_i1234",1.38316925263797,0.0502280837274912
"NPK5105_applied_i1234",0.119970967205434,0.00435659755606197
"NPK5105_price_i1234",0.934407328529146,0.0339318485018605
"N_baseline_i1234",3.72307379765857,0.135198828397734
"N_applied_i1234",2.19319966164113,-0.0796433379544253
"N_price_i1234",1.36797361950389,0.0496762730709897
"K_baseline_i1234",0.734493368049868,0.0266722198439093
"K_applied_i1234",1.98196562726038,-0.0719726347886797
"K_price_i1234",0.509456803247368,-0.0185002948267145
"rice_area_loss_severe_risks_i1234",1.14736677806874,-0.0416652079888752
"chance_refertilize_i1234",1.44817883388572,0.052588826408673
"chance_refertilize_advice_i1234",0.323289566287635,-0.0117398614614591
"rate_fer_pla_inno_i1",0.302611480040771,0.0109889622888879
"rate_fer_pla_immi_i1",0.310592882135188,-0.0112787970519847
"rate_fer_pla_inno_i2",0.149982165207846,0.00544641715923239
"rate_fer_pla_immi_i2",0.139364656171598,0.00506085542712119
"rate_fer_pla_inno_i3",0.50219493048703,-0.0182365888830427
"rate_fer_pla_immi_i3",0.37563165358033,-0.0136405997391463
"rate_fer_pla_inno_i4",1.14273712557599,0.0414970878744415
"rate_fer_pla_immi_i4",0.58719530645037,0.0213232725933784
"reduced_times_spray_i1234",1.62025714843188,0.0588376379508801
"reduced_cost_per_time_spray_i1234",0.742290674051177,0.0269553693846728
"times_monitor_increased",0.146248779343558,-0.00531084386086645
"cost_monitor_pest_increased",0.0673238204736728,0.00244478142147605
"yield_change_i1234",1.07940180547637,0.0391971439197849
"rice_price",0.014202140391628,-0.000515733194140765
"rate_ani_inno_i1",0.040839322994449,0.00148302959368642
"rate_ani_immi_i1",0.372060358982302,0.0135109125849942
"rate_ani_inno_i2",0.50790234580824,-0.0184438466239696
"rate_ani_immi_i2",0.914603922928248,0.0332127122770533
"rate_ani_inno_i3",1.20338190606774,-0.0436993282050195
"rate_ani_immi_i3",0.859045415474314,0.0311951736722525
"rate_ani_inno_i4",0.252626405171533,-0.00917381600735453
"rate_ani_immi_i4",0.144739769167891,0.0052560460193843
"total_buffalo_i1234",0.944254722543915,-0.0342894444577625
"price_buffalo_i1234",0.274271922702938,-0.0099598462526183
"chance_extreme_cold",0.226149902365069,-0.00821235449623583
"reduced_death_animal_i1",0.806655820400871,-0.0292927102081612
"reduced_death_animal_i2",0.65401126100526,-0.023749611491033
"reduced_death_animal_i3",1.41067843087699,-0.051227045571986
"reduced_death_animal_i4",0.421778395896964,0.0153163617128963
"total_cow_i1234",0.239003127130324,-0.00867910348479686
"price_cow_i1234",0.048489664628271,0.00176084230488909
"area_pond_impacted_i1234",0.345434176677597,0.0125440156476936
"chance_reduced_risk_fish_death",0.942733822679175,-0.0342342148569009
"lost_fish_i1234",0.0863687771776674,-0.00313637551098482
"reduced_water_expenditure_i1234",0.333491635490497,-0.0121103370089292
"percent_pollution_reduction_i1234",0.262811802102787,-0.00954368612186517
"new_income_farm_peryear_i12",1.31922077115247,0.047905873574125
"rate_farm",1.04352148519389,0.0378941943871227
